corpus,universe,rows,mean_card,density,disjoint_pct,no_filter_ns,filter_ns,gated_ns,filter_speedup,gated_speedup,gate,correct
as-skitter,1696415,256,,,99.4,25.0000,16.6700,6.0600,1.4997,4.1254,USE w=16384,1
com-LiveJournal,4036538,256,,,99.9,33.8100,22.8000,7.0800,1.4829,4.7754,USE w=16384,1
com-Orkut,3072627,256,,,99.5,95.3400,58.3300,25.8700,1.6345,3.6853,USE w=16384,1
soc-Pokec,1632804,256,,,99.9,39.3300,28.6600,10.5300,1.3723,3.7350,USE w=16384,1
wiki-Talk,2394385,256,,,95.1,11.8000,17.5600,11.8000,0.6720,1.0000,bypass,1
dimension_003,3866847,256,,,100.0,13.5100,8.8400,6.5100,1.5283,2.0753,USE w=16384,1
dimension_008,3866845,256,,,36.8,9.4900,19.3000,9.4900,0.4917,1.0000,bypass,1
dimension_033,3866847,256,,,100.0,732.7100,877.1300,732.7100,0.8353,1.0000,bypass,1
uscensus2000,36974578,256,,,100.0,16.9500,8.5400,3.7900,1.9848,4.4723,USE w=16384,1
census1881,4277806,256,,,96.9,87.3600,324.9100,87.3600,0.2689,1.0000,bypass,1
census1881_srt,4277735,256,,,97.6,107.9100,68.5700,51.5600,1.5737,2.0929,USE w=16384,1
wikileaks-noquotes,1353179,256,,,94.7,156.9100,144.0400,151.9600,1.0894,1.0326,USE w=16384,1
wikileaks-noquotes_srt,1353133,256,,,94.9,177.9400,139.6200,93.3500,1.2745,1.9062,USE w=16384,1
weather_sept_85,1015367,256,,,34.7,2824.6900,13294.3500,2824.6900,0.2125,1.0000,bypass,1
weather_sept_85_srt,1015367,256,,,31.5,3957.1500,6339.8600,3957.1500,0.6242,1.0000,bypass,1
census-income,199523,256,,,24.8,1846.8200,10222.6700,1846.8200,0.1807,1.0000,bypass,1
census-income_srt,199523,256,,,26.5,1528.5900,3076.7800,1528.5900,0.4968,1.0000,bypass,1
dbpedia-link,18268993,256,,,92.8,45.6500,28.3000,26.5900,1.6131,1.7168,USE w=16384,1
wikipedia_link_en,11206012,256,,,93.9,55.0700,31.7300,14.9500,1.7356,3.6836,USE w=16384,1
livejournal-groupmemberships,7489074,256,,,99.9,21.6900,11.5100,4.4800,1.8844,4.8415,USE w=16384,1
usher_sarscov2,8451771,256,,,91.3,907.8700,293.6400,346.4700,3.0918,2.6203,USE w=16384,1
gnomad_chr21_exomes_af1e-3,1461894,256,,,99.9,25.0600,17.6500,6.9300,1.4198,3.6162,USE w=16384,1
msprime_10k,20000,256,,,62.2,89.3000,965.4100,89.3000,0.0925,1.0000,bypass,1
msprime_100k,200000,256,,,68.4,592.5600,4748.5300,592.5600,0.1248,1.0000,bypass,1
msprime_1M,2000000,256,,,76.5,4565.0100,31236.6600,4565.0100,0.1461,1.0000,bypass,1
