corpus,domain,universe,rows,mean_card,density,allbitmap_ns,best_cell,best_ns,speedup
enwiki-categorylinks,IR-postings,129698523,98,37.1,0.000000,506108.40,B x S,11.45,44205.5
dbpedia-link,graph,18268993,512,25.4,0.000001,57082.62,B x S,42.23,1351.6
wikipedia_link_en,graph,11206012,512,52.2,0.000005,32157.78,B x S,57.51,559.2
livejournal-groupmemberships,graph-bipartite,7489074,512,67.1,0.000009,21905.92,B x S,10.94,2003.2
com-Orkut,graph,3072627,512,78.8,0.000026,11552.02,B x B zone-mapped,42.35,272.8
com-LiveJournal,graph,4036538,512,19.9,0.000005,11689.74,B x S,25.16,464.7
soc-Pokec,graph,1632804,512,24.7,0.000015,4513.10,B x B zone-mapped,21.15,213.4
as-skitter,graph,1696415,512,12.3,0.000007,4527.11,B x S,8.90,508.8
wiki-Talk,graph,2394385,512,75.7,0.000032,7131.66,B x S,9.90,720.1
uscensus2000,census,36974578,346,29.9,0.000001,106407.02,B x S,6.44,16526.8
dimension_003,druid,3866847,512,207.7,0.000054,10104.21,B x R,4.74,2132.8
dimension_008,druid,3866845,512,665.1,0.000172,10474.90,B x R,5.03,2082.8
dimension_033,druid,3866847,512,22351.7,0.005780,9767.88,B x R,36.54,267.3
census1881,census,4277806,512,5019.3,0.001173,11143.37,B x B zone-mapped,82.00,135.9
census1881_srt,census,4277735,512,3404.0,0.000796,11301.19,B x R,29.99,376.8
wikileaks-noquotes,text,1353179,512,1376.8,0.001017,3311.98,B x B zone-mapped,57.49,57.6
wikileaks-noquotes_srt,text,1353133,512,1440.1,0.001064,3430.79,B x B zone-mapped,18.23,188.2
weather_sept_85,sensor,1015367,512,64353.1,0.063379,3076.52,B x B zone-mapped,2372.65,1.3
weather_sept_85_srt,sensor,1015367,512,80540.5,0.079322,2613.08,B x B zone-mapped,367.37,7.1
census-income,census,199523,512,34610.1,0.173464,362.03,B x B zone-mapped,296.20,1.2
census-income_srt,census,199523,512,30464.3,0.152686,427.39,B x B zone-mapped,139.56,3.1
usher_sarscov2,genomics,8451771,512,12637.5,0.001495,31864.47,B x B zone-mapped,339.04,94.0
gnomad_chr21_exomes_af1e-3,genomics,1461894,512,27.7,0.000019,9436.55,B x B zone-mapped,15.06,626.4
msprime_1M,genomics-sim,2000000,512,136158.2,0.068079,6037.35,B x B zone-mapped,3476.45,1.7
msprime_100k,genomics-sim,200000,512,15428.0,0.077140,501.16,B x B zone-mapped,183.49,2.7
msprime_10k,genomics-sim,20000,512,2210.8,0.110538,48.02,B x B zone-mapped,47.80,1.0
