corpus,domain,universe,rows,allbitmap_ns,pertile_ns,probe_ns,pertile_x,probe_x,sel_pct
enwiki-categorylinks,IR,129698523,98,642867.020,698.350,593.570,920.5513,1083.0517,0.02
uscensus2000,census,36974578,346,123379.600,223.070,211.140,553.0981,584.3497,0.04
dbpedia-link,graph,18268993,512,52419.560,168.330,169.870,311.4095,308.5863,0.05
wikipedia_link_en,graph,11206012,512,38892.310,96.320,100.520,403.7823,386.9112,0.04
livejournal-groupmemberships,graph,7489074,512,23533.220,44.960,49.830,523.4257,472.2701,0.17
com-Orkut,graph,3072627,512,8380.680,82.690,48.620,101.3506,172.3710,0.14
com-LiveJournal,graph,4036538,512,10986.820,27.580,27.380,398.3619,401.2717,0.14
soc-Pokec,graph,1632804,512,4001.730,22.690,19.820,176.3654,201.9036,0.25
as-skitter,graph,1696415,512,4240.460,15.970,16.200,265.5266,261.7568,0.22
wiki-Talk,graph,2394385,512,6218.400,32.250,37.800,192.8186,164.5079,0.25
dimension_003,druid,3866847,512,10148.080,26.990,24.730,375.9941,410.3550,0.23
dimension_008,druid,3866845,512,9698.570,49.800,48.500,194.7504,199.9705,0.10
dimension_033,druid,3866847,512,10028.390,149.460,60.220,67.0975,166.5292,0.80
census1881,census,4277806,512,10780.680,74.060,69.220,145.5668,155.7452,0.19
census1881_srt,census,4277735,512,11022.650,44.490,32.110,247.7557,343.2778,0.42
wikileaks-noquotes,text,1353179,512,3337.870,148.700,64.230,22.4470,51.9675,0.76
weather_sept_85,sensor,1015367,512,2984.140,1367.970,1477.370,2.1814,2.0199,0.08
census-income,census,199523,512,386.060,257.860,268.420,1.4972,1.4383,0.14
usher_sarscov2,genomics,8451771,512,25788.670,570.290,212.470,45.2203,121.3756,0.37
gnomad_chr21_exomes_af1e-3,genomics,1461894,512,5485.030,24.690,34.600,222.1559,158.5269,0.69
msprime_1M,genomics-sim,2000000,512,10498.490,2394.400,2540.140,4.3846,4.1330,0.13
msprime_100k,genomics-sim,200000,512,557.450,250.870,198.170,2.2221,2.8130,0.19
msprime_10k,genomics-sim,20000,512,51.360,25.690,26.790,1.9992,1.9171,0.41
