corpus,domain,universe,rows,allbitmap_ns,pertile_ns,probe_ns,pertile_x,probe_x,sel_pct
enwiki-categorylinks,IR,129698523,98,1246900.600,1196482.810,968125.120,1.0421,1.2880,0.00
uscensus2000,census,36974578,346,204179.550,190494.960,200633.430,1.0718,1.0177,0.00
dbpedia-link,graph,18268993,512,93612.990,106330.410,91477.920,0.8804,1.0233,0.00
wikipedia_link_en,graph,11206012,512,55893.940,52613.560,54764.050,1.0623,1.0206,0.00
livejournal-groupmemberships,graph,7489074,512,37962.660,26885.620,27474.190,1.4120,1.3818,0.00
com-Orkut,graph,3072627,512,15222.170,17473.420,14962.090,0.8712,1.0174,0.00
com-LiveJournal,graph,4036538,512,26171.070,20643.320,21454.590,1.2678,1.2198,0.00
soc-Pokec,graph,1632804,512,6271.130,6435.950,6436.690,0.9744,0.9743,0.01
as-skitter,graph,1696415,512,6331.100,6826.090,6518.330,0.9275,0.9713,0.01
wiki-Talk,graph,2394385,512,15607.370,7186.010,7414.980,2.1719,2.1048,0.01
dimension_003,druid,3866847,512,15119.450,14950.970,15674.480,1.0113,0.9646,0.00
dimension_008,druid,3866845,512,21833.680,19129.180,30929.070,1.1414,0.7059,0.00
dimension_033,druid,3866847,512,16851.070,13365.930,13826.650,1.2607,1.2187,0.01
census1881,census,4277806,512,21824.320,16455.300,19308.710,1.3263,1.1303,0.01
census1881_srt,census,4277735,512,32701.580,28092.430,23887.000,1.1641,1.3690,0.01
wikileaks-noquotes,text,1353179,512,9325.360,4575.510,5263.650,2.0381,1.7717,0.05
weather_sept_85,sensor,1015367,512,3945.010,2753.000,4674.090,1.4330,0.8440,0.15
census-income,census,199523,512,779.150,499.250,774.500,1.5606,1.0060,0.18
usher_sarscov2,genomics,8451771,512,63425.390,32308.030,59688.170,1.9631,1.0626,0.01
gnomad_chr21_exomes_af1e-3,genomics,1461894,512,6215.330,4673.610,5433.610,1.3299,1.1439,0.01
msprime_1M,genomics-sim,2000000,512,9754.790,4289.350,3758.990,2.2742,2.5951,0.13
msprime_100k,genomics-sim,200000,512,633.600,245.940,474.600,2.5762,1.3350,0.22
msprime_10k,genomics-sim,20000,512,65.980,25.350,31.870,2.6028,2.0703,0.65
