corpus,rows,elements,universe,bitmap_bpv,array_bpv,runs_bpv,ewah_bpv,best_bpv,meta_bpv,meta_pct_of_best
enwiki-categorylinks,1024,39927,129698523,3326353.7316,32.0000,62.7177,113.2322,31.8525,838096.5662,2631177.3
dbpedia-link,1024,29310,18268993,638263.8466,32.0000,56.3750,101.6270,31.8417,160825.9253,505079.7
wikipedia_link_en,1024,42754,11206012,268395.0130,32.0000,46.2074,72.9023,28.2719,67631.4229,239218.0
livejournal-groupmemberships,1024,53564,7489074,143171.2738,32.0000,63.2915,101.8834,31.9982,36081.2605,112760.3
uscensus2000,200,5985,36974578,1235575.3383,32.0000,57.7764,91.8884,31.9840,311319.0977,973360.1
com-Orkut,1024,81812,3072627,38458.7024,32.0000,62.1749,101.8929,31.9171,9695.1817,30376.2
as-skitter,1024,13831,1696415,125599.2157,32.0000,47.1335,77.7199,29.2583,31675.8123,108262.5
usher_sarscov2,1024,8009118,8451771,1080.5957,32.0000,2.0403,4.0593,2.0211,272.3112,13473.3
gnomad_chr21_exomes_af1e-3,1024,28809,1461894,51964.2767,32.0000,63.9800,127.6823,32.0000,13107.6550,40961.4
census1881,200,1003861,4277806,852.2742,32.0000,58.8623,43.7856,29.9238,214.8250,717.9
wikileaks-noquotes,200,275355,1353179,982.8883,32.0000,11.3643,19.4579,10.6387,247.9069,2330.2
weather_sept_85,200,12870627,1015367,15.7789,32.0000,30.0591,7.8676,6.7748,3.9820,58.8
census-income,200,6922021,199523,5.7657,32.0000,20.7269,3.8590,3.0846,1.4645,47.5
msprime_100k,1024,16297605,200000,12.5663,32.0000,31.8755,5.2852,4.4359,3.1928,72.0
