corpus,rows,elements,universe,row_point,row_array,row_runs,row_ewah,row_bitmap,el_point,el_array,el_runs,el_ewah,el_bitmap,roar_array,roar_run,roar_bitset
enwiki-categorylinks,2048,102664,129698523,30.91,68.26,0.20,0.63,0.00,1.79,92.20,0.04,5.97,0.00,99.94,0.06,0.00
dbpedia-link,2048,60009,18268993,9.28,89.60,1.07,0.05,0.00,0.89,95.21,3.52,0.38,0.00,98.63,1.37,0.00
wikipedia_link_en,2048,96076,11206012,17.68,75.78,4.05,2.49,0.00,1.00,77.54,10.43,11.04,0.00,98.89,1.11,0.00
livejournal-groupmemberships,2048,107431,7489074,64.89,35.01,0.10,0.00,0.00,3.15,96.84,0.02,0.00,0.00,99.98,0.02,0.00
uscensus2000,200,5985,36974578,67.00,32.00,1.00,0.00,0.00,3.84,95.67,0.48,0.00,0.00,99.91,0.09,0.00
com-Orkut,2048,159665,3072627,4.15,95.46,0.10,0.29,0.00,0.15,99.02,0.16,0.67,0.00,99.88,0.12,0.00
com-LiveJournal,2048,39762,4036538,28.47,68.80,1.76,0.98,0.00,4.11,89.00,4.10,2.78,0.00,98.50,1.50,0.00
as-skitter,2048,31023,1696415,40.87,56.15,2.34,0.63,0.00,7.71,63.99,14.02,14.28,0.00,97.85,2.15,0.00
soc-Pokec,2048,47811,1632804,20.90,78.96,0.10,0.05,0.00,2.58,96.96,0.25,0.22,0.00,99.91,0.09,0.00
wiki-Talk,2048,145782,2394385,49.37,50.15,0.15,0.34,0.00,1.80,92.82,0.08,5.29,0.00,99.65,0.35,0.00
dimension_003,2048,493800,3866847,40.48,0.00,59.52,0.00,0.00,0.32,0.00,99.68,0.00,0.00,35.27,64.73,0.00
census1881,200,1003861,4277806,52.50,15.00,31.00,1.50,0.00,0.02,93.29,6.21,0.49,0.00,90.98,9.02,0.00
wikileaks-noquotes,200,275355,1353179,25.00,5.50,69.50,0.00,0.00,0.04,2.24,97.72,0.00,0.00,10.52,89.48,0.00
weather_sept_85,200,12870627,1015367,0.50,62.00,5.50,29.50,2.50,0.00,6.37,0.30,77.53,15.79,79.62,0.74,19.64
census-income,200,6922021,199523,5.00,55.50,1.00,8.00,30.50,0.00,2.60,5.71,1.92,89.78,72.01,4.56,23.44
usher_sarscov2,2048,27633087,8451771,5.96,17.33,76.61,0.10,0.00,0.00,0.15,99.81,0.05,0.00,70.76,29.24,0.00
gnomad_chr21_exomes_af1e-3,2048,56948,1461894,55.03,44.97,0.00,0.00,0.00,4.18,95.82,0.00,0.00,0.00,100.00,0.00,0.00
msprime_1M,2048,291938698,2000000,14.21,61.62,0.10,6.49,17.58,0.00,2.69,1.36,14.69,81.26,74.20,0.33,25.46
msprime_100k,2048,36028791,200000,15.04,53.61,0.10,7.08,24.17,0.00,2.36,1.10,6.69,89.85,76.54,1.98,21.48
