corpus,domain,universe,rows,roaring_stock_ns,roaring_fixed_ns,storm_ns,vs_stock,vs_fixed,fix_gain
enwiki-categorylinks,IR,129698523,98,30.900,30.590,13.265,2.3294,2.3061,1.0101
uscensus2000,census,36974578,346,14.270,12.370,5.365,2.6598,2.3057,1.1536
dbpedia-link,graph,18268993,512,100.310,99.110,52.315,1.9174,1.8945,1.0121
wikipedia_link_en,graph,11206012,512,106.050,109.890,60.065,1.7656,1.8295,0.9651
livejournal-groupmemberships,graph,7489074,512,29.890,27.750,19.565,1.5277,1.4183,1.0771
com-Orkut,graph,3072627,512,196.650,193.230,90.290,2.1780,2.1401,1.0177
com-LiveJournal,graph,4036538,512,49.110,48.200,33.160,1.4810,1.4536,1.0189
soc-Pokec,graph,1632804,512,93.700,95.590,40.485,2.3144,2.3611,0.9802
as-skitter,graph,1696415,512,26.980,27.670,20.420,1.3213,1.3550,0.9751
wiki-Talk,graph,2394385,512,48.170,37.410,16.885,2.8528,2.2156,1.2876
dimension_003,druid,3866847,512,3.050,2.940,1.790,1.7039,1.6425,1.0374
dimension_008,druid,3866845,512,7.630,7.720,8.345,0.9143,0.9251,0.9883
dimension_033,druid,3866847,512,99.500,97.150,31.525,3.1562,3.0817,1.0242
census1881,census,4277806,512,1261.890,51.200,41.250,30.5913,1.2412,24.6463
census1881_srt,census,4277735,512,61.100,58.890,15.275,4.0000,3.8553,1.0375
wikileaks-noquotes,text,1353179,512,388.690,367.900,56.875,6.8341,6.4686,1.0565
weather_sept_85,sensor,1015367,512,17825.470,1225.670,1038.565,17.1636,1.1802,14.5434
census-income,census,199523,512,3828.640,432.570,248.200,15.4256,1.7428,8.8509
usher_sarscov2,genomics,8451771,512,940.600,976.590,507.605,1.8530,1.9239,0.9631
gnomad_chr21_exomes_af1e-3,genomics,1461894,512,61.570,61.970,23.175,2.6567,2.6740,0.9935
msprime_1M,genomics-sim,2000000,512,11259.590,1729.010,1317.120,8.5486,1.3127,6.5122
msprime_100k,genomics-sim,200000,512,1658.500,209.640,120.665,13.7447,1.7374,7.9112
msprime_10k,genomics-sim,20000,512,700.400,87.650,23.260,30.1118,3.7683,7.9909
