corpus,domain,t,N,pairs,hits,exact_ns,prefix_ns,gated_ns,gated_speedup,gate,correct
enwiki-categorylinks,IR,0.001000,74,2701,0,12.480193,12.572751,12.572751,0.9926,prefix,1
enwiki-categorylinks,IR,0.010000,74,2701,0,27.196964,12.649389,12.649389,2.1501,prefix,1
enwiki-categorylinks,IR,0.100000,74,2701,0,20.486116,26.379119,26.379119,0.7766,prefix,1
uscensus2000,census,0.001000,200,19900,0,24.650302,0.950603,0.950603,25.9312,prefix,1
uscensus2000,census,0.010000,200,19900,0,7.223618,0.410402,0.410402,17.6013,prefix,1
uscensus2000,census,0.100000,200,19900,0,32.014271,0.990352,0.990352,32.3262,prefix,1
dbpedia-link,graph,0.001000,384,73536,3850,63.051322,1.978623,1.978623,31.8663,prefix,1
dbpedia-link,graph,0.010000,384,73536,3322,54.829716,1.874932,1.874932,29.2436,prefix,1
dbpedia-link,graph,0.100000,384,73536,69,66.673697,0.406835,0.406835,163.8840,prefix,1
wikipedia_link_en,graph,0.001000,384,73536,5613,59.292387,4.972055,4.972055,11.9251,prefix,1
wikipedia_link_en,graph,0.010000,384,73536,3415,84.602562,5.157895,5.157895,16.4025,prefix,1
wikipedia_link_en,graph,0.100000,384,73536,354,66.269133,0.551879,0.551879,120.0790,prefix,1
livejournal-groupmemberships,graph,0.001000,384,73536,14,22.995540,0.869193,0.869193,26.4562,prefix,1
livejournal-groupmemberships,graph,0.010000,384,73536,3,25.084081,0.661241,0.661241,37.9349,prefix,1
livejournal-groupmemberships,graph,0.100000,384,73536,1,27.678049,0.649899,0.649899,42.5882,prefix,1
com-Orkut,graph,0.001000,384,73536,432,97.829634,1.988264,1.988264,49.2035,prefix,1
com-Orkut,graph,0.010000,384,73536,50,88.339942,1.472068,1.472068,60.0108,prefix,1
com-Orkut,graph,0.100000,384,73536,0,97.443198,0.727535,0.727535,133.9361,prefix,1
com-LiveJournal,graph,0.001000,384,73536,24,31.218832,0.185855,0.185855,167.9745,prefix,1
com-LiveJournal,graph,0.010000,384,73536,11,53.888000,0.168856,0.168856,319.1357,prefix,1
com-LiveJournal,graph,0.100000,384,73536,0,47.243296,0.149015,0.149015,317.0362,prefix,1
soc-Pokec,graph,0.001000,384,73536,52,39.342975,0.231737,0.231737,169.7744,prefix,1
soc-Pokec,graph,0.010000,384,73536,32,31.142338,0.234008,0.234008,133.0825,prefix,1
soc-Pokec,graph,0.100000,384,73536,1,32.280108,0.175084,0.175084,184.3689,prefix,1
as-skitter,graph,0.001000,384,73536,324,25.544182,0.214738,0.214738,118.9549,prefix,1
as-skitter,graph,0.010000,384,73536,306,23.361578,0.223251,0.223251,104.6426,prefix,1
as-skitter,graph,0.100000,384,73536,108,23.373477,0.184141,0.184141,126.9324,prefix,1
wiki-Talk,graph,0.001000,384,73536,1629,22.248178,2.121981,2.121981,10.4846,prefix,1
wiki-Talk,graph,0.010000,384,73536,483,21.921807,1.935555,1.935555,11.3258,prefix,1
wiki-Talk,graph,0.100000,384,73536,52,21.018059,0.641414,0.641414,32.7683,prefix,1
dimension_003,druid,0.001000,384,73536,0,25.144705,0.788158,0.788158,31.9031,prefix,1
dimension_003,druid,0.010000,384,73536,0,29.496315,0.842567,0.842567,35.0077,prefix,1
dimension_003,druid,0.100000,384,73536,0,25.079553,0.864651,0.864651,29.0054,prefix,1
dimension_008,druid,0.001000,384,73536,43189,22.150144,47.325460,22.150144,1.0000,exact,1
dimension_008,druid,0.010000,384,73536,38945,19.934114,45.487353,19.934114,1.0000,exact,1
dimension_008,druid,0.100000,384,73536,24583,12.119914,26.209952,12.119914,1.0000,exact,1
dimension_033,druid,0.001000,173,14878,0,799.819129,431.856903,431.856903,1.8520,prefix,1
dimension_033,druid,0.010000,173,14878,0,836.229130,392.758301,392.758301,2.1291,prefix,1
dimension_033,druid,0.100000,173,14878,0,852.615204,410.029372,410.029372,2.0794,prefix,1
census1881,census,0.001000,200,19900,64,119.696382,114.912060,114.912060,1.0416,prefix,1
census1881,census,0.010000,200,19900,1,85.410402,89.771809,89.771809,0.9514,prefix,1
