corpus,domain,t,N,pairs,hits,exact_ns,prefix_ns,gated_ns,gated_speedup,gate,correct
enwiki-categorylinks,IR,0.001000,20000,199990000,9056,70.495236,0.217850,0.217850,323.5949,prefix,1
enwiki-categorylinks,IR,0.010000,20000,199990000,3513,71.557090,0.171597,0.171597,417.0058,prefix,1
enwiki-categorylinks,IR,0.100000,20000,199990000,213,75.233504,0.092259,0.092259,815.4636,prefix,1
uscensus2000,census,0.001000,200,19900,0,17.190101,0.422915,0.422915,40.6467,prefix,1
uscensus2000,census,0.010000,200,19900,0,16.421658,1.072060,1.072060,15.3178,prefix,1
uscensus2000,census,0.100000,200,19900,0,12.784724,0.441759,0.441759,28.9405,prefix,1
dbpedia-link,graph,0.001000,20000,199990000,9546629,84.280116,6.715875,6.715875,12.5494,prefix,1
dbpedia-link,graph,0.010000,20000,199990000,7634996,84.010598,6.743622,6.743622,12.4578,prefix,1
dbpedia-link,graph,0.100000,20000,199990000,193502,102.755746,0.932697,0.932697,110.1705,prefix,1
wikipedia_link_en,graph,0.001000,20000,199990000,16763523,108.564465,17.022432,17.022432,6.3777,prefix,1
wikipedia_link_en,graph,0.010000,20000,199990000,9931316,103.798137,7.194992,7.194992,14.4264,prefix,1
wikipedia_link_en,graph,0.100000,20000,199990000,1004349,90.057690,0.871268,0.871268,103.3640,prefix,1
livejournal-groupmemberships,graph,0.001000,20000,199990000,43367,32.292581,0.836303,0.836303,38.6135,prefix,1
livejournal-groupmemberships,graph,0.010000,20000,199990000,11171,33.179836,0.661191,0.661191,50.1819,prefix,1
livejournal-groupmemberships,graph,0.100000,20000,199990000,1381,32.563031,0.262790,0.262790,123.9129,prefix,1
com-Orkut,graph,0.001000,20000,199990000,1082980,144.228305,3.014410,3.014410,47.8463,prefix,1
com-Orkut,graph,0.010000,20000,199990000,158584,141.495706,3.291443,3.291443,42.9890,prefix,1
com-Orkut,graph,0.100000,20000,199990000,1733,155.633815,1.442786,1.442786,107.8703,prefix,1
com-LiveJournal,graph,0.001000,20000,199990000,89277,54.325995,0.131135,0.131135,414.2763,prefix,1
com-LiveJournal,graph,0.010000,20000,199990000,38076,50.455196,0.151234,0.151234,333.6242,prefix,1
com-LiveJournal,graph,0.100000,20000,199990000,1144,52.096299,0.047854,0.047854,1088.6496,prefix,1
soc-Pokec,graph,0.001000,20000,199990000,217820,63.981273,0.284842,0.284842,224.6204,prefix,1
soc-Pokec,graph,0.010000,20000,199990000,123933,67.797499,0.274857,0.274857,246.6642,prefix,1
soc-Pokec,graph,0.100000,20000,199990000,1551,71.097959,0.196158,0.196158,362.4526,prefix,1
as-skitter,graph,0.001000,20000,199990000,937469,47.713633,0.521838,0.521838,91.4338,prefix,1
as-skitter,graph,0.010000,20000,199990000,868595,36.798664,0.451531,0.451531,81.4975,prefix,1
as-skitter,graph,0.100000,20000,199990000,313120,34.660845,0.307181,0.307181,112.8353,prefix,1
wiki-Talk,graph,0.001000,20000,199990000,5947615,70.196413,21.936457,21.936457,3.2000,prefix,1
