corpus,t,N,pairs,hits,candidates,exact_ns,prefix_ns,gated_ns,speedup,gated_speedup,gate,correct
as-skitter,0.001000,256,32640,131,131,12.237010,0.293627,0.293627,41.6753,41.6753,prefix,1
as-skitter,0.011184,256,32640,118,124,10.645159,0.365074,0.365074,29.1589,29.1589,prefix,1
as-skitter,0.021367,256,32640,103,123,9.787347,0.273162,0.273162,35.8299,35.8299,prefix,1
as-skitter,0.031551,256,32640,86,113,15.018627,0.283395,0.283395,52.9955,52.9955,prefix,1
as-skitter,0.041735,256,32640,73,104,14.030607,0.269363,0.269363,52.0881,52.0881,prefix,1
as-skitter,0.051918,256,32640,63,95,18.824050,0.259130,0.259130,72.6433,72.6433,prefix,1
as-skitter,0.062102,256,32640,51,89,11.931955,0.245098,0.245098,48.6824,48.6824,prefix,1
as-skitter,0.072286,256,32640,41,82,13.099969,0.239982,0.239982,54.5874,54.5874,prefix,1
as-skitter,0.082469,256,32640,38,79,12.604657,0.260417,0.260417,48.4019,48.4019,prefix,1
as-skitter,0.092653,256,32640,29,66,10.941330,0.231036,0.231036,47.3578,47.3578,prefix,1
as-skitter,0.102837,256,32640,27,60,20.833333,0.293597,0.293597,70.9590,70.9590,prefix,1
as-skitter,0.113020,256,32640,20,54,16.819853,0.222120,0.222120,75.7241,75.7241,prefix,1
as-skitter,0.123204,256,32640,19,54,10.701348,0.223376,0.223376,47.9073,47.9073,prefix,1
as-skitter,0.133388,256,32640,16,51,12.023866,0.219577,0.219577,54.7592,54.7592,prefix,1
as-skitter,0.143571,256,32640,15,48,18.942770,0.204259,0.204259,92.7392,92.7392,prefix,1
as-skitter,0.153755,256,32640,14,47,10.754933,0.208088,0.208088,51.6845,51.6845,prefix,1
as-skitter,0.163939,256,32640,11,45,12.925092,0.204259,0.204259,63.2781,63.2781,prefix,1
as-skitter,0.174122,256,32640,11,40,17.994271,0.239982,0.239982,74.9819,74.9819,prefix,1
as-skitter,0.184306,256,32640,10,40,12.145098,0.204259,0.204259,59.4594,59.4594,prefix,1
as-skitter,0.194490,256,32640,9,40,29.908364,0.537439,0.537439,55.6498,55.6498,prefix,1
as-skitter,0.204673,256,32640,9,34,12.285539,0.186366,0.186366,65.9214,65.9214,prefix,1
as-skitter,0.214857,256,32640,7,33,16.560723,0.194026,0.194026,85.3532,85.3532,prefix,1
as-skitter,0.225041,256,32640,6,30,9.866452,0.174908,0.174908,56.4094,56.4094,prefix,1
as-skitter,0.235224,256,32640,6,27,10.864737,0.172335,0.172335,63.0444,63.0444,prefix,1
as-skitter,0.245408,256,32640,6,27,13.042555,0.171048,0.171048,76.2509,76.2509,prefix,1
as-skitter,0.255592,256,32640,5,24,11.140472,0.171048,0.171048,65.1308,65.1308,prefix,1
as-skitter,0.265776,256,32640,5,23,11.735355,0.169792,0.169792,69.1162,69.1162,prefix,1
as-skitter,0.275959,256,32640,5,23,15.576471,0.174908,0.174908,89.0552,89.0552,prefix,1
as-skitter,0.286143,256,32640,4,20,14.670129,0.160846,0.160846,91.2063,91.2063,prefix,1
as-skitter,0.296327,256,32640,4,19,13.984620,0.171078,0.171078,81.7439,81.7439,prefix,1
as-skitter,0.306510,256,32640,4,15,15.106740,0.155760,0.155760,96.9874,96.9874,prefix,1
as-skitter,0.316694,256,32640,4,14,10.394975,0.154473,0.154473,67.2931,67.2931,prefix,1
as-skitter,0.326878,256,32640,4,14,13.994822,0.162132,0.162132,86.3173,86.3173,prefix,1
as-skitter,0.337061,256,32640,4,13,19.150827,0.154442,0.154442,123.9998,123.9998,prefix,1
as-skitter,0.347245,256,32640,3,13,13.850582,0.146783,0.146783,94.3609,94.3609,prefix,1
as-skitter,0.357429,256,32640,1,12,16.431801,0.141697,0.141697,115.9641,115.9641,prefix,1
as-skitter,0.367612,256,32640,1,12,9.567770,0.137868,0.137868,69.3982,69.3982,prefix,1
as-skitter,0.377796,256,32640,1,11,11.038327,0.135325,0.135325,81.5692,81.5692,prefix,1
as-skitter,0.387980,256,32640,1,11,11.111121,0.137868,0.137868,80.5927,80.5927,prefix,1
as-skitter,0.398163,256,32640,1,11,17.451746,0.132782,0.132782,131.4317,131.4317,prefix,1
as-skitter,0.408347,256,32640,1,11,18.166636,0.136581,0.136581,133.0101,133.0101,prefix,1
as-skitter,0.418531,256,32640,1,11,16.782843,0.131495,0.131495,127.6309,127.6309,prefix,1
as-skitter,0.428714,256,32640,1,10,9.290748,0.125092,0.125092,74.2714,74.2714,prefix,1
as-skitter,0.438898,256,32640,1,10,8.897549,0.125092,0.125092,71.1281,71.1281,prefix,1
as-skitter,0.449082,256,32640,1,10,20.592065,0.329350,0.329350,62.5233,62.5233,prefix,1
as-skitter,0.459265,256,32640,1,10,13.006771,0.125123,0.125123,103.9523,103.9523,prefix,1
as-skitter,0.469449,256,32640,1,8,10.684743,0.120006,0.120006,89.0350,89.0350,prefix,1
as-skitter,0.479633,256,32640,1,8,14.589706,0.117433,0.117433,124.2390,124.2390,prefix,1
as-skitter,0.489816,256,32640,1,7,14.446722,0.114890,0.114890,125.7443,125.7443,prefix,1
as-skitter,0.500000,256,32640,1,7,13.338695,0.117433,0.117433,113.5860,113.5860,prefix,1
com-LiveJournal,0.001000,256,32640,12,12,24.708946,0.275735,0.275735,89.6111,89.6111,prefix,1
com-LiveJournal,0.011184,256,32640,7,8,27.777757,0.260417,0.260417,106.6666,106.6666,prefix,1
com-LiveJournal,0.021367,256,32640,2,3,21.460110,0.251471,0.251471,85.3385,85.3385,prefix,1
com-LiveJournal,0.031551,256,32640,1,1,41.009222,0.247641,0.247641,165.5995,165.5995,prefix,1
com-LiveJournal,0.041735,256,32640,1,1,28.380300,0.243811,0.243811,116.4027,116.4027,prefix,1
com-LiveJournal,0.051918,256,32640,0,1,28.319026,0.242555,0.242555,116.7529,116.7529,prefix,1
com-LiveJournal,0.062102,256,32640,0,1,22.778799,0.237439,0.237439,95.9355,95.9355,prefix,1
com-LiveJournal,0.072286,256,32640,0,1,25.089338,0.236183,0.236183,106.2286,106.2286,prefix,1
com-LiveJournal,0.082469,256,32640,0,1,23.040502,0.239982,0.239982,96.0094,96.0094,prefix,1
com-LiveJournal,0.092653,256,32640,0,1,22.079228,0.229779,0.229779,96.0888,96.0888,prefix,1
com-LiveJournal,0.102837,256,32640,0,0,22.047335,0.228493,0.228493,96.4903,96.4903,prefix,1
com-LiveJournal,0.113020,256,32640,0,0,26.002114,0.247641,0.247641,104.9993,104.9993,prefix,1
com-LiveJournal,0.123204,256,32640,0,0,24.988511,0.225950,0.225950,110.5932,110.5932,prefix,1
com-LiveJournal,0.133388,256,32640,0,0,27.168873,0.251471,0.251471,108.0400,108.0400,prefix,1
com-LiveJournal,0.143571,256,32640,0,0,30.318107,0.238695,0.238695,127.0162,127.0162,prefix,1
com-LiveJournal,0.153755,256,32640,0,0,28.382843,0.229779,0.229779,123.5221,123.5221,prefix,1
com-LiveJournal,0.163939,256,32640,0,0,21.738419,0.224663,0.224663,96.7601,96.7601,prefix,1
com-LiveJournal,0.174122,256,32640,0,0,26.129749,0.231036,0.231036,113.0984,113.0984,prefix,1
com-LiveJournal,0.184306,256,32640,0,0,36.099602,0.227206,0.227206,158.8850,158.8850,prefix,1
com-LiveJournal,0.194490,256,32640,0,0,24.592770,0.225950,0.225950,108.8418,108.8418,prefix,1
com-LiveJournal,0.204673,256,32640,0,0,27.031005,0.218290,0.218290,123.8305,123.8305,prefix,1
com-LiveJournal,0.214857,256,32640,0,0,30.878523,0.204259,0.204259,151.1737,151.1737,prefix,1
com-LiveJournal,0.225041,256,32640,0,0,23.681311,0.213174,0.213174,111.0891,111.0891,prefix,1
com-LiveJournal,0.235224,256,32640,0,0,21.915870,0.196599,0.196599,111.4748,111.4748,prefix,1
com-LiveJournal,0.245408,256,32640,0,0,24.554473,0.211918,0.211918,115.8679,115.8679,prefix,1
com-LiveJournal,0.255592,256,32640,0,0,28.137776,0.208088,0.208088,135.2204,135.2204,prefix,1
com-LiveJournal,0.265776,256,32640,0,0,21.740962,0.191483,0.191483,113.5400,113.5400,prefix,1
com-LiveJournal,0.275959,256,32640,0,0,23.026440,0.185110,0.185110,124.3931,124.3931,prefix,1
com-LiveJournal,0.286143,256,32640,0,0,30.907904,0.204259,0.204259,151.3175,151.3175,prefix,1
com-LiveJournal,0.296327,256,32640,0,0,22.634559,0.201685,0.201685,112.2273,112.2273,prefix,1
com-LiveJournal,0.306510,256,32640,0,0,25.661244,0.194056,0.194056,132.2360,132.2360,prefix,1
com-LiveJournal,0.316694,256,32640,0,0,26.093995,0.177451,0.177451,147.0490,147.0490,prefix,1
com-LiveJournal,0.326878,256,32640,0,0,23.290717,0.191483,0.191483,121.6334,121.6334,prefix,1
com-LiveJournal,0.337061,256,32640,0,0,24.245558,0.192770,0.192770,125.7748,125.7748,prefix,1
com-LiveJournal,0.347245,256,32640,0,0,21.743505,0.186366,0.186366,116.6707,116.6707,prefix,1
com-LiveJournal,0.357429,256,32640,0,0,24.762561,0.186366,0.186366,132.8703,132.8703,prefix,1
com-LiveJournal,0.367612,256,32640,0,0,21.398866,0.167218,0.167218,127.9698,127.9698,prefix,1
com-LiveJournal,0.377796,256,32640,0,0,26.907169,0.179994,0.179994,149.4894,149.4894,prefix,1
com-LiveJournal,0.387980,256,32640,0,0,27.689706,0.159559,0.159559,173.5392,173.5392,prefix,1
com-LiveJournal,0.398163,256,32640,0,0,24.790625,0.160846,0.160846,154.1269,154.1269,prefix,1
com-LiveJournal,0.408347,256,32640,0,0,22.074142,0.154473,0.154473,142.8996,142.8996,prefix,1
com-LiveJournal,0.418531,256,32640,0,0,23.277911,0.157016,0.157016,148.2519,148.2519,prefix,1
com-LiveJournal,0.428714,256,32640,0,0,24.571078,0.164675,0.164675,149.2093,149.2093,prefix,1
com-LiveJournal,0.438898,256,32640,0,0,23.196232,0.158303,0.158303,146.5309,146.5309,prefix,1
com-LiveJournal,0.449082,256,32640,0,0,23.591973,0.163388,0.163388,144.3919,144.3919,prefix,1
com-LiveJournal,0.459265,256,32640,0,0,23.086458,0.154442,0.154442,149.4826,149.4826,prefix,1
com-LiveJournal,0.469449,256,32640,0,0,26.958241,0.160846,0.160846,167.6032,167.6032,prefix,1
com-LiveJournal,0.479633,256,32640,0,0,36.621752,0.146814,0.146814,249.4437,249.4437,prefix,1
com-LiveJournal,0.489816,256,32640,0,0,34.806464,0.151900,0.151900,229.1414,229.1414,prefix,1
com-LiveJournal,0.500000,256,32640,0,0,28.852635,0.149357,0.149357,193.1795,193.1795,prefix,1
soc-Pokec,0.001000,256,32640,27,27,26.995251,0.357445,0.357445,75.5228,75.5228,prefix,1
soc-Pokec,0.011184,256,32640,11,20,29.608333,0.348499,0.348499,84.9596,84.9596,prefix,1
soc-Pokec,0.021367,256,32640,5,12,30.110049,0.326808,0.326808,92.1339,92.1339,prefix,1
soc-Pokec,0.031551,256,32640,1,7,25.329350,0.311489,0.311489,81.3170,81.3170,prefix,1
soc-Pokec,0.041735,256,32640,0,3,26.228033,0.301256,0.301256,87.0622,87.0622,prefix,1
soc-Pokec,0.051918,256,32640,0,2,28.373928,0.294884,0.294884,96.2208,96.2208,prefix,1
soc-Pokec,0.062102,256,32640,0,1,33.628217,0.305116,0.305116,110.2144,110.2144,prefix,1
soc-Pokec,0.072286,256,32640,0,0,26.922488,0.314032,0.314032,85.7317,85.7317,prefix,1
soc-Pokec,0.082469,256,32640,0,0,24.288971,0.316575,0.316575,76.7243,76.7243,prefix,1
soc-Pokec,0.092653,256,32640,0,0,29.142402,0.311489,0.311489,93.5584,93.5584,prefix,1
soc-Pokec,0.102837,256,32640,0,0,24.015778,0.300000,0.300000,80.0526,80.0526,prefix,1
