corpus,domain,universe,rows,roaring_ns,allbitmap_ns,pertile_ns,probe_ns,best_ns,vs_roaring,vs_roaring_lo,vs_roaring_hi,cells
enwiki-categorylinks,IR,129698523,98,25.990,546691.980,11.760,13.530,11.760,2.2100,2.1516,2.4930,B x S=89.1%  empty=10.9%
uscensus2000,census,36974578,346,11.440,111021.360,4.630,5.900,4.630,2.4708,2.3692,2.7645,B x S=41.1%  S x S=4.1%  empty=54.8%
dbpedia-link,graph,18268993,512,98.490,54764.910,49.210,48.940,49.210,1.9976,1.9623,2.0223,B x S=97.3%  S x S=1.3%  empty=1.4%
wikipedia_link_en,graph,11206012,512,103.280,32152.090,58.840,72.040,58.840,1.7527,1.7040,1.7768,B x S=96.9%  S x S=1.1%  empty=2.0%
livejournal-groupmemberships,graph,7489074,512,28.390,20909.970,17.060,15.420,17.060,1.6719,1.6085,1.6864,B x S=54.9%  S x S=23.1%  empty=21.9%
com-Orkut,graph,3072627,512,196.600,8138.960,91.250,168.340,91.250,2.1425,2.1171,2.1920,B x S=99.5%  empty=0.5%
com-LiveJournal,graph,4036538,512,48.000,10852.000,31.830,31.420,31.830,1.5149,1.4596,1.5509,B x S=81.6%  S x S=3.6%  empty=14.8%
soc-Pokec,graph,1632804,512,92.930,4193.200,37.660,38.310,37.660,2.4695,2.4552,2.4801,B x S=90.6%  S x S=4.9%  empty=4.5%
as-skitter,graph,1696415,512,25.670,4349.540,20.750,19.160,20.750,1.2439,1.1668,1.2495,B x S=73.9%  S x S=8.9%  empty=17.2%
wiki-Talk,graph,2394385,512,37.300,6348.750,13.860,18.660,13.860,2.7665,2.6912,2.7912,B x S=69.1%  S x S=16.5%  empty=14.4%
dimension_003,druid,3866847,512,2.930,9990.740,1.610,1.640,1.610,1.8261,1.7515,1.8313,B x S=0.1%  B x R=0.3%  empty=99.5%
dimension_008,druid,3866845,512,7.260,10103.700,6.200,7.810,6.200,1.1698,1.1500,1.3105,B x S=53.4%  B x R=25.0%  S x S=7.1%  empty=14.6%
dimension_033,druid,3866847,512,92.050,9914.780,28.300,29.990,28.300,3.2527,3.2070,3.4803,B x R=72.0%  empty=28.0%
census1881,census,4277806,512,48.120,11726.040,53.120,88.830,53.120,0.9128,0.8045,0.9222,B x B=0.1%  B x S=31.7%  S x S=4.8%  empty=63.3%
census1881_srt,census,4277735,512,58.780,11172.630,15.540,20.510,15.540,3.7333,3.4905,3.8005,B x B=0.0%  B x S=35.7%  B x R=11.8%  S x S=15.8%  empty=36.6%
wikileaks-noquotes,text,1353179,512,368.040,3391.810,66.930,98.490,66.930,5.4880,4.9999,5.8113,B x B=0.1%  B x S=24.7%  B x R=39.0%  empty=36.1%
weather_sept_85,sensor,1015367,512,1260.300,2512.360,1124.900,1240.140,1124.900,1.1262,1.0221,1.1924,B x B=45.9%  B x S=53.4%  empty=0.6%
census-income,census,199523,512,428.460,367.570,249.460,284.410,249.460,1.7175,1.6187,1.7271,B x B=46.1%  B x S=53.8%  empty=0.1%
usher_sarscov2,genomics,8451771,512,953.720,25361.520,491.520,802.220,491.520,1.9412,1.8046,2.7832,B x S=85.5%  B x R=14.0%  empty=0.5%
gnomad_chr21_exomes_af1e-3,genomics,1461894,512,62.010,3659.110,20.220,17.060,20.220,3.0935,2.9870,3.3190,B x S=70.2%  S x S=12.3%  empty=17.4%
msprime_1M,genomics-sim,2000000,512,1764.280,5840.070,1114.020,1719.050,1114.020,1.5837,1.2067,1.7878,B x B=14.0%  B x S=83.7%  S x S=0.4%  empty=1.9%
msprime_100k,genomics-sim,200000,512,238.360,405.560,134.160,144.710,134.160,1.8480,1.5217,2.0031,B x B=14.0%  B x S=83.7%  S x S=0.4%  empty=1.9%
msprime_10k,genomics-sim,20000,512,88.250,46.450,21.730,23.750,21.730,4.0336,3.5222,4.0875,B x B=25.0%  B x S=72.4%  S x S=0.3%  empty=2.4%
