corpus,domain,universe,rows,roaring_ns,allbitmap_ns,pertile_ns,probe_ns,best_ns,vs_roaring,vs_roaring_lo,vs_roaring_hi,cells
enwiki-categorylinks,IR,129698523,98,31.490,660162.455,11.610,13.215,11.610,2.7122,2.6112,2.8133,B x S=89.1%  empty=10.9%
uscensus2000,census,36974578,346,12.195,123413.480,4.840,6.945,4.840,2.5198,2.4495,2.5901,B x S=45.2%  empty=54.8%
dbpedia-link,graph,18268993,512,100.260,59688.690,53.235,52.325,51.900,1.9323,1.8938,1.9709,B x S=98.6%  empty=1.4%
wikipedia_link_en,graph,11206012,512,109.990,43169.980,66.930,98.255,66.930,1.6526,1.5343,1.7710,B x S=96.9%  S x S=1.1%  empty=2.0%
livejournal-groupmemberships,graph,7489074,512,28.865,26441.025,24.435,16.060,16.060,1.8005,1.7143,1.8868,B x S=78.1%  empty=21.9%
com-Orkut,graph,3072627,512,209.165,8638.310,111.470,173.490,111.470,1.8962,1.7236,2.0687,B x S=99.5%  empty=0.5%
com-LiveJournal,graph,4036538,512,50.050,11740.105,33.410,35.995,33.410,1.4982,1.4830,1.5135,B x S=85.2%  empty=14.8%
soc-Pokec,graph,1632804,512,97.125,4487.075,43.750,42.600,42.510,2.2924,2.1795,2.4054,B x S=95.5%  empty=4.5%
as-skitter,graph,1696415,512,28.310,5282.240,24.670,20.300,20.300,1.3963,1.3608,1.4317,B x S=82.8%  empty=17.2%
wiki-Talk,graph,2394385,512,38.005,6684.720,17.620,21.950,17.620,2.1586,2.0967,2.2204,B x S=69.1%  S x S=16.5%  empty=14.4%
dimension_003,druid,3866847,512,2.955,11335.240,1.690,1.725,1.690,1.7490,1.7076,1.7904,B x S=0.1%  B x R=0.3%  empty=99.5%
dimension_008,druid,3866845,512,7.570,11390.245,7.555,8.085,7.165,1.0561,1.0240,1.0883,B x S=60.5%  B x R=25.0%  empty=14.6%
dimension_033,druid,3866847,512,97.580,10934.535,35.355,35.165,34.260,2.9186,2.4647,3.3724,B x R=72.0%  empty=28.0%
census1881,census,4277806,512,49.375,13062.540,53.955,91.555,53.955,0.9149,0.9009,0.9290,B x B=0.1%  B x S=36.5%  empty=63.3%
census1881_srt,census,4277735,512,61.735,13710.315,25.935,25.300,24.175,2.5896,2.3032,2.8761,B x B=0.0%  B x S=51.6%  B x R=11.8%  empty=36.6%
wikileaks-noquotes,text,1353179,512,375.585,3877.995,85.475,121.035,85.475,4.4381,4.0064,4.8699,B x B=0.1%  B x S=24.7%  B x R=39.0%  empty=36.1%
weather_sept_85,sensor,1015367,512,1453.465,2724.245,1496.500,1559.080,1460.790,0.9975,0.9458,1.0492,B x B=12.8%  B x S=86.5%  empty=0.6%
census-income,census,199523,512,474.325,385.600,253.945,277.670,253.945,1.8676,1.8500,1.8851,B x B=46.1%  B x S=53.8%  empty=0.1%
usher_sarscov2,genomics,8451771,512,984.370,27996.325,566.065,784.090,566.065,1.7432,1.6660,1.8204,B x S=85.5%  B x R=14.0%  empty=0.5%
gnomad_chr21_exomes_af1e-3,genomics,1461894,512,65.770,4223.250,23.230,18.630,18.630,3.5647,3.1598,3.9695,B x S=82.6%  empty=17.4%
msprime_1M,genomics-sim,2000000,512,1878.490,6175.525,1255.580,1868.170,1255.580,1.5061,1.3587,1.6535,B x B=14.0%  B x S=84.1%  empty=1.9%
msprime_100k,genomics-sim,200000,512,231.275,408.245,130.860,145.505,130.860,1.7699,1.7066,1.8333,B x B=14.0%  B x S=84.1%  empty=1.9%
msprime_10k,genomics-sim,20000,512,90.585,46.700,21.315,23.175,21.315,4.2522,4.0718,4.4327,B x B=25.0%  B x S=72.7%  empty=2.4%
